DATE,gdp_growth,bci,gdp_next_quarter
2000-04-01,0.7977487808022099,100.79843333333334,0.07304914490706693
2000-07-01,0.07304914490706693,100.95296666666667,-0.42584501358002846
2000-10-01,-0.42584501358002846,100.88810000000001,2.123041137368542
2001-01-01,2.123041137368542,100.27285666666667,-0.25125217012823553
2001-04-01,-0.25125217012823553,99.36287333333333,0.0
2001-07-01,0.0,98.7636,-0.31185844569461274
2001-10-01,-0.31185844569461274,98.25582666666666,-0.46628086379122413
2002-01-01,-0.46628086379122413,98.62782,0.38684422142452046
2002-04-01,0.38684422142452046,99.05079,0.6864196774519105
2002-07-01,0.6864196774519105,98.98099,-0.27508408482036506
2002-10-01,-0.27508408482036506,98.92384,-1.3582203164238416
2003-01-01,-1.3582203164238416,98.81835333333333,0.145889544621447
2003-04-01,0.145889544621447,98.65802666666666,0.910522864932628
2003-07-01,0.910522864932628,98.92543666666667,0.12032407371604936
2003-10-01,0.12032407371604936,99.49214666666667,-0.15321115662507712
2004-01-01,-0.15321115662507712,99.75051333333333,0.5897221129991914
2004-04-01,0.5897221129991914,99.94072,-0.323042856560829
2004-07-01,-0.323042856560829,100.14093333333334,-0.03599903477280453
2004-10-01,-0.03599903477280453,100.20280000000001,0.1590735211310701
2005-01-01,0.1590735211310701,99.92587666666667,0.5994434793101577
2005-04-01,0.5994434793101577,99.60206666666666,0.7865530748126792
2005-07-01,0.7865530748126792,99.9104,0.37838680445552164
2005-10-01,0.37838680445552164,100.33933333333334,1.1160928598538344
2006-01-01,1.1160928598538344,100.84273333333333,1.712488628814235
2006-04-01,1.712488628814235,101.32973333333332,0.7559301538770047
2006-07-01,0.7559301538770047,101.66340000000001,1.4664098283410754
2006-10-01,1.4664098283410754,102.10466666666667,0.1316549686842361
2007-01-01,0.1316549686842361,101.98383333333334,0.6601176160607292
2007-04-01,0.6601176160607292,101.91726666666666,0.5112755759393517
2007-07-01,0.5112755759393517,101.8272,0.740909450433036
2007-10-01,0.740909450433036,101.65916666666665,0.5873204358928685
2008-01-01,0.5873204358928685,101.47283333333333,-0.3601281297977543
2008-04-01,-0.3601281297977543,101.06239999999998,-0.5476566755983181
2008-07-01,-0.5476566755983181,100.0031,-1.552856303748662
2008-10-01,-1.552856303748662,97.67913,-4.687180405088576
2009-01-01,-4.687180405088576,96.10269666666666,0.246476324324707
2009-04-01,0.246476324324707,96.43506333333333,0.6205519465079856
2009-07-01,0.6205519465079856,97.67715666666668,0.7679741630208348
2009-10-01,0.7679741630208348,98.62295,0.7273645466908674
2010-01-01,0.7273645466908674,99.45260333333333,2.16668137720073
2010-04-01,2.16668137720073,100.65243333333335,0.964990162431123
2010-07-01,0.964990162431123,101.48306666666667,0.6557097004274315
2010-10-01,0.6557097004274315,101.81773333333332,1.8078979175993437
2011-01-01,1.8078979175993437,102.03383333333333,0.27112606078942836
2011-04-01,0.27112606078942836,102.05196666666666,0.540771119115635
2011-07-01,0.540771119115635,101.4193,-0.010754013777491966
2011-10-01,-0.010754013777491966,100.8079,0.21246978878521894
2012-01-01,0.21246978878521894,100.74296666666667,0.10736771880082152
2012-04-01,0.10736771880082152,100.36773333333333,0.20374027368248449
2012-07-01,0.20374027368248449,99.64160333333332,-0.29964681398580995
2012-10-01,-0.29964681398580995,99.44972,-0.5528703868991625
2013-01-01,-0.5528703868991625,99.89710333333333,1.1658129181371324
2013-04-01,1.1658129181371324,100.02564666666667,0.5121535605608685
2013-07-01,0.5121535605608685,100.4696,0.14862846759231552
2013-10-01,0.14862846759231552,100.899,1.0440592268960769
2014-01-01,1.0440592268960769,100.95076666666667,-0.020988210450212375
2014-04-01,-0.020988210450212375,100.87183333333333,0.5560819254433635
2014-07-01,0.5560819254433635,100.45566666666667,0.7616863951976249
2014-10-01,0.7616863951976249,100.2538,-0.2174119621047299
2015-01-01,-0.2174119621047299,100.62543333333333,0.5188835431457539
2015-04-01,0.5188835431457539,100.77826666666665,0.5368617133856279
2015-07-01,0.5368617133856279,100.64293333333335,0.5134485315596793
2015-10-01,0.5134485315596793,100.48223333333333,0.878687278539747
2016-01-01,0.878687278539747,100.4054,0.22280000576182513
2016-04-01,0.22280000576182513,100.58416666666666,0.35367537984309916
2016-07-01,0.35367537984309916,100.68226666666665,0.4632033189352347
2016-10-01,0.4632033189352347,100.93713333333334,1.297996694283765
2017-01-01,1.297996694283765,101.33776666666667,0.7124556186834718
2017-04-01,0.7124556186834718,101.8849,0.7958257508413835
2017-07-01,0.7958257508413835,102.19940000000001,1.0137414763949026
2017-10-01,1.0137414763949026,102.42983333333332,-0.5524644612867724
2018-01-01,-0.5524644612867724,102.36396666666667,0.7859609304567305
2018-04-01,0.7859609304567305,102.23306666666667,-0.6546742243945802
2018-07-01,-0.6546742243945802,101.98303333333332,0.4457886444696024
2018-10-01,0.4457886444696024,101.52213333333333,0.6560505999294808
2019-01-01,0.6560505999294808,100.8532,0.05750528519055109
2019-04-01,0.05750528519055109,100.1028,0.38319190604370057
2019-07-01,0.38319190604370057,99.37524666666667,-0.3340032190534026
2019-10-01,-0.3340032190534026,99.19896999999999,-2.0298791081416745
2020-01-01,-2.0298791081416745,98.96664,-8.874123750582752
2020-04-01,-8.874123750582752,97.81798333333332,8.676540818218292
2020-07-01,8.676540818218292,99.45911666666666,0.9671371754385039
2020-10-01,0.9671371754385039,100.5148,-0.6157737366024985
2021-01-01,-0.6157737366024985,101.63726666666666,2.3505028183922416
2021-04-01,2.3505028183922416,102.88786666666665,0.08647999987385635
2021-07-01,0.08647999987385635,103.49193333333334,0.5376401262900732
2021-10-01,0.5376401262900732,103.45519999999999,0.6779993475577006
